FileName_hintX|Original Japanese Sentence|Hint|English Translation
BASIC5000_0658_hint2|国民総生産は、一国の財と、サービスを貨幣価値で測った、総生産高である。|財と総生産高|Gross National Product means the wealth of a nation and gross production that service is measured by currency value.
BASIC5000_0704_hint1|お互いにあらさがしをするのはやめましょうよ。|お互いにあら探しする|We should stop picking on each other.
BASIC5000_0704_hint2|お互いにあらさがしをするのはやめましょうよ。|お互いにやめる|We should stop picking on anymore.
BASIC5000_0997_hint1|堅実な草の根レベルの運動を築きあげることに集中しなければならない。|堅実な草の根|We should concentrate on creating activities at a reliable grass root level.
BASIC5000_0997_hint2|堅実な草の根レベルの運動を築きあげることに集中しなければならない。|堅実な運動|We should concentrate on creating reliable activities at the grass root level.
BASIC5000_1031_hint1|引用した問題ではありませんが、関係代名詞と、関係副詞の使い分けを問う問題が、リーディングセクションにはあります。|関係代名詞vs関係副詞|It is not a reference question, but we have a question about how to use relative pronouns and relative adverbs in the reading section.
BASIC5000_1031_hint2|引用した問題ではありませんが、関係代名詞と、関係副詞の使い分けを問う問題が、リーディングセクションにはあります。|[関係代名詞] & [関係副詞の問題]|It is not a reference question, but we have relative pronouns and a question about how to use relative adverbs in the reading section.
BASIC5000_1080_hint1|動詞には目的をとらない自動詞と、目的語をとる他動詞があります。|自動詞は一般的に目的語をとらない|Verbs have intransitive verbs without an object and transitive verbs with an object.
BASIC5000_1080_hint2|動詞には目的をとらない自動詞と、目的語をとる他動詞があります。|自動詞の中でも目的語をとらないもの|Verbs have some intransitive verbs that do not need an object and transitive verbs with an object.
BASIC5000_1138_hint1|見なくちゃ行けない動物が、たくさんいるよ。|見なければならない|There are many animals that you should go to see.
BASIC5000_1138_hint2|見なくちゃ行けない動物が、たくさんいるよ。|見たあとで行く|There are many animals that you should go after seeing.
BASIC5000_1185_hint1|完全な宗教の自由が、万人に保証されている。|完全な宗教|The freedom of perfect religions is ensured to all people.
BASIC5000_1185_hint2|完全な宗教の自由が、万人に保証されている。|完全な自由|Complete freedom of religions is ensured to all people.
BASIC5000_1336_hint1|効率的な機械が、肉体労働に取って代わった。|機械の中でも効率的なもの|Physical labor has been replaced with some efficient machines.
BASIC5000_1336_hint2|効率的な機械が、肉体労働に取って代わった。|機械は一般的に効率的|Physical labor has been replaced with efficient machines.
BASIC5000_1375_hint1|司令官は、部下に向かって直ちに発砲するよう命令を発した。|部下に向かって発砲する|The commander ordered me to fire a gun at his subordinates immediately.
BASIC5000_1375_hint2|司令官は、部下に向かって直ちに発砲するよう命令を発した。|部下に向かって命令した|The commander ordered his subordinates to fire their guns immediately.
BASIC5000_1596_hint1|超大国が激しい国境紛争を解決するために、本格的に交渉した。|超大国が激しい|In order to solve border disputes between strong super major powers, we negotiated with them on a full scale.
BASIC5000_1596_hint2|超大国が激しい国境紛争を解決するために、本格的に交渉した。|超大国が解決する|In order for super major powers to solve serious border disputes, we negotiated on a full scale.
BASIC5000_2190_hint1|ダブルのバスつきの部屋がいいです。|ダブルのバス|I want a room with double bathrooms.
BASIC5000_2190_hint2|ダブルのバスつきの部屋がいいです。|ダブルの部屋|I want a double bedroom with a bathroom.
BASIC5000_2197_hint1|浪費する人を守るために倹約する人に税金をかけるのは、賢明なことではないし、結局は、ためにならないのである。|浪費する人のために倹約する|It is not a sensible decision to impose a tax on people saving money for spendthrifts; as a result, that decision became useless.
BASIC5000_2197_hint2|浪費する人を守るために倹約する人に税金をかけるのは、賢明なことではないし、結局は、ためにならないのである。|浪費する人のために税金をかける|It is not a sensible decision to impose a tax on people saving money to protect spendthrifts; as a result, the decision became useless.
BASIC5000_2367_hint1|エムサイズの黄色い長袖のシャツが欲しいんだけど。|黄色い長袖(袖だけ)|I want to buy a medium-size shirt with yellow long sleeves.
BASIC5000_2367_hint2|エムサイズの黄色い長袖のシャツが欲しいんだけど。|黄色いシャツ|I want to buy a medium-size yellow shirt with long sleeves.
BASIC5000_2383_hint1|エミリー以上にすばらしいアップルパイを焼く人はいない。|すばらしいアップルパイ|There is no one who can bake a wonderful apple pie better than Emily.
BASIC5000_2383_hint2|エミリー以上にすばらしいアップルパイを焼く人はいない。|すばらしい人|There is no wonderful person like Emily who can bake an apple pie.
BASIC5000_2411_hint1|けれども、ポーラ・グレイソンのような管理職の人々は、なんとかその習慣を変えてもらおうと、説得に努めています。|ポーラ・グレイソンのような管理職|However, managers like Pola Grayson are trying to persuade them to change their habits.
BASIC5000_2411_hint2|けれども、ポーラ・グレイソンのような管理職の人々は、なんとかその習慣を変えてもらおうと、説得に努めています。|ポーラ・グレイソンのような人々|However, people like Pola Grayson, who is a manager, are trying to persuade them to change their habits.
BASIC5000_2419_hint1|腰の痛みから足が鉛のように重く引きずるように歩いていました。|重く引きずるように|Due to back pain, I was dragging my feet heavily, which looked like they were as heavily as lead.
BASIC5000_2419_hint2|腰の痛みから足が鉛のように重く引きずるように歩いていました。|重いので引きずった|Having back pain, I was dragging my feet because they were heavy as lead.
BASIC5000_2437_hint1|高度に専門的な話題で、多分に誤った情報が含まれる可能性があることはあらかじめお断りしておきます。|多分に誤った|Please understand that advanced and professional topics may include quite wrong information.
BASIC5000_2437_hint2|高度に専門的な話題で、多分に誤った情報が含まれる可能性があることはあらかじめお断りしておきます。|多分に含まれる|Please understand that advanced and professional topics may include a lot of wrong information.
BASIC5000_2444_hint1|長期間の練習が彼が流暢な英語を話すことを可能にした。|彼が流暢な|By practicing for a long time, he can be a fluent person and speak English.
BASIC5000_2444_hint2|長期間の練習が彼が流暢な英語を話すことを可能にした。|彼が話す|By practicing for a long time, he can speak English fluently.
BASIC5000_2452_hint1|葉の植物に対する関係は肺の動物に対する関係と同じである。|葉の植物|The relationship of leaf plants is equivalent to the relationship of lung animals.
BASIC5000_2452_hint2|葉の植物に対する関係は肺の動物に対する関係と同じである。|葉の関係|The relationship of leaves to plants is equivalent to the relationship of lungs to animals.
BASIC5000_2512_hint1|過度の運動なので、ジョギングをやめるように医者が私に言った。|過度の運動なのでやめる|The doctor said that I should stop jogging because it is an excessive exercise.
BASIC5000_2512_hint2|過度の運動なので、ジョギングをやめるように医者が私に言った。|過度の運動なので言った|Jogging is an excessive exercise, so the doctor said that I should stop it.
BASIC5000_2528_hint1|少年たちは、楽しそうに歌いながら、行進を続けた。|楽しそうに歌った|The boys kept marching while singing enjoyably.
BASIC5000_2528_hint2|少年たちは、楽しそうに歌いながら、行進を続けた。|楽しそうに行進した|The boys kept enjoyably marching while singing.
BASIC5000_2556_hint1|死によって人間の限りある人生は終わる。|人間の限り|As long as we are humans, our lives finish with death.
BASIC5000_2556_hint2|死によって人間の限りある人生は終わる。|限りある人生|Humans' limited lives finish with death.
BASIC5000_2587_hint1|苦心惨憺の末、考え出した企画が、会議で、一瞬にして却下されちゃうんだからな。|苦心惨憺の末考え出した|We made the plan after working very hard, but it was rejected at the meeting in a moment.
BASIC5000_2587_hint2|苦心惨憺の末、考え出した企画が、会議で、一瞬にして却下されちゃうんだからな。|苦心惨憺の末却下された|We made a plan, but it was rejected at the meeting in a moment, after we had worked very hard.
BASIC5000_2759_hint1|湖は、明るい日の光を受けて経っていた。|明るい日|The lake was shining with the light of the bright sun.
BASIC5000_2759_hint2|湖は、明るい日の光を受けて経っていた。|明るい光|The lake was shining with the bright light of the sun.
BASIC5000_2781_hint1|昔から今に至るまで存在する、あらゆる社会の歴史は、階級闘争の歴史である。|あらゆる社会|The history of various societies, ranging from ancient to modern, is the history of class conflicts.
BASIC5000_2781_hint2|昔から今に至るまで存在する、あらゆる社会の歴史は、階級闘争の歴史である。|あらゆる歴史|The various histories of society, ranging from ancient to modern, is the history of class conflicts.
BASIC5000_3065_hint1|家宝の鎧が売られたと騒ぐ武家のご隠居が呼び出してしまった。|騒ぐ武家|The retired person of the panicked samurai family called someone because the sword, an heirloom of the family, was sold.
BASIC5000_3065_hint2|家宝の鎧が売られたと騒ぐ武家のご隠居が呼び出してしまった。|騒ぐご隠居|The panicked retired person of the samurai family called someone because the sword, an heirloom of the family, was sold.
BASIC5000_3084_hint1|また、諸般の事情で、日本国外に移住したいなどの理由付けも挙がる。|諸般の事情で移住したい|There are reasons why people want to move out of Japan due to various circumstances.
BASIC5000_3084_hint2|また、諸般の事情で、日本国外に移住したいなどの理由付けも挙がる。|諸般の事情で挙がる|There are reasons due to various circumstances why people want to move out of Japan.
BASIC5000_3101_hint1|他者に対しても、フォースを用いて、病や傷などを癒すことができる。|他者に対して用いる|Using the force for others can cure a disease and heal a wound.
BASIC5000_3101_hint2|他者に対しても、フォースを用いて、病や傷などを癒すことができる。|他者に対して癒す|Using a force can cure a disease and heal a wound for others.
BASIC5000_3145_hint1|忌憚のないご意見、改善案をお寄せください。|忌憚のない&[意見&改善案]|We appreciate your frank and honest opinions and improvement proposals.
BASIC5000_3145_hint2|忌憚のないご意見、改善案をお寄せください。|[忌憚のない意見]&[改善案]|We appreciate your frank and honest opinions as well as improvement proposals.
BASIC5000_3146_hint1|頭には蛇の顔のような眼状紋という模様があり、鳥などの天敵を驚かす効果がある。|蛇の顔のような眼状紋|It has a pattern called an eyespot, looking like a snake face and having the effect of surprising enemies, including birds.
BASIC5000_3146_hint2|頭には蛇の顔のような眼状紋という模様があり、鳥などの天敵を驚かす効果がある。|蛇の顔のような模様|It has a pattern like a snake face called an eyespot, having the effect of surprising enemies, including birds.
BASIC5000_3160_hint1|ごくまれに、透明な色の石も、採掘される。|透明な[色の石]|It is very rare that transparent stones of colors are mined.
BASIC5000_3160_hint2|ごくまれに、透明な色の石も、採掘される。|[透明な色]の石|It is very rare that stones of transparent colors are mined.
BASIC5000_3207_hint1|針のような形状の機首尖端部から、電波のようなものを発信し、水中にいる黒いおおかみ一味を翻弄、撤退させた。|針のような形状|Transmitting something like an electric wave from the top of the nose of the airplane that forms like a needle, it baffled the black wolves in water and drove them out of the place.
BASIC5000_3207_hint2|針のような形状の機首尖端部から、電波のようなものを発信し、水中にいる黒いおおかみ一味を翻弄、撤退させた。|針のような突端部|Transmitting something like an electric wave from the top of the nose of the airplane that looks like a needle, it baffled the black wolves in water and drove them out of the place.
BASIC5000_3217_hint1|折衷案というか、解決策として発動時は、刀の鍔を使った眼帯で意図的に視界を狭めている。|解決策として発動|Our solution and compromise plan are to put into a motion, so we make the field of vision narrow down on purpose by using an eye patch with a sword guard.
BASIC5000_3217_hint2|折衷案というか、解決策として発動時は、刀の鍔を使った眼帯で意図的に視界を狭めている。|解決策として狭める|Our solution and compromise plan are to make the field of vision narrow down on purpose when putting into a motion, with an eye patch using a sword guard.
BASIC5000_3225_hint1|間違った魔法でサマンサとダーリンを窮地に陥れる事もしばしば、更に呪文を忘れて事態を長引かせる事もあるが、温和な人柄で、夫婦からは親しまれている。|サマンサ＆ダーリンを陥れる|He often drives Samantha and her husband into a tight corner by using wrong magic; furthermore, sometimes he forgets spells and prolongs such trouble, but Samantha and her husband love him because of his gentle personality.
BASIC5000_3225_hint2|間違った魔法でサマンサとダーリンを窮地に陥れる事もしばしば、更に呪文を忘れて事態を長引かせる事もあるが、温和な人柄で、夫婦からは親しまれている。|サマンサと一緒になってダーリンを陥れる|He often drives Samantha's husband into a tight corner by using wrong magic with Samantha; furthermore, sometimes he forgets spells and prolongs such trouble, but Samantha and her husband love him because of his gentle personality.
BASIC5000_3237_hint1|本条約は、締約国に彼らの活動をカバーし、そのような素材の輸入、および輸出を可能にする国内の著作権の例外を規定するための規範を定めている。|可能にする国内|This article describes rules to allow parties to cover their activities and regulate exceptions to copyrights, allowing the parties to export and import such materials inside the country.
BASIC5000_3237_hint2|本条約は、締約国に彼らの活動をカバーし、そのような素材の輸入、および輸出を可能にする国内の著作権の例外を規定するための規範を定めている。|可能にする著作権|This article describes rules to allow parties to cover their activities and regulate exceptions to domestic copyrights, allowing the parties to export and import such materials.
BASIC5000_3237_hint3|本条約は、締約国に彼らの活動をカバーし、そのような素材の輸入、および輸出を可能にする国内の著作権の例外を規定するための規範を定めている。|可能にする例外|This article describes the rules to allow parties to cover their activities and regulate exceptions, allowing to import and export such materials, to domestic copyrights.
BASIC5000_3243_hint1|編集者を自称し、横暴な仕切りとピンハネで私腹を肥やす。|[横暴な仕切り]と[ピンハネ]|He calls himself an editor and lines his pockets by oppressive management and kickbacks.
BASIC5000_3243_hint2|編集者を自称し、横暴な仕切りとピンハネで私腹を肥やす。|横暴な[仕切りとピンハネ]|He calls himself an editor and lines his pockets by management and kickbacks which are oppressive.
BASIC5000_3246_hint1|ガス風船とは、一般には、浮揚性のある水素ガスや、ヘリウムガスを注入したゴム風船や、マイラーバルーンのこと。|"[浮揚性のある水素ガス]や[ヘリウムガスを注入したゴム風船]"|Gas balloons are generally rubber balloons or mylar balloons in which hydrogen gas that is buoyant or helium gas is injected.
BASIC5000_3246_hint2|ガス風船とは、一般には、浮揚性のある水素ガスや、ヘリウムガスを注入したゴム風船や、マイラーバルーンのこと。|浮揚性のある[水素ガスやヘリウムガス]|Gas balloons are generally rubber balloons or mylar balloons in which buoyant hydrogen or helium gases are injected.
BASIC5000_3247_hint1|その直感通り奮戦むなしく完敗するものの、捨て身の覚悟で虚の片腕を封じ、同時に自分の剣を銀時に渡すことで、彼が虚に一矢報いることに貢献した。|直感通り奮戦|Following his nose, he fought bravely but lost. However, he desperately blocked the right-hand man of Utsuro, and at the same time, he helped Gintoki to attack Utsuro by giving his sword to Gintoki.
BASIC5000_3247_hint2|その直感通り奮戦むなしく完敗するものの、捨て身の覚悟で虚の片腕を封じ、同時に自分の剣を銀時に渡すことで、彼が虚に一矢報いることに貢献した。|直感通り完敗|He fought bravely but lost as intuition told him. However, he desperately blocked the right-hand man of Utsuro, and at the same time, he helped Gintoki to attack Utsuro by giving his sword to Gintoki.
BASIC5000_3256_hint1|また、唐代中期以降は、直播き式であった稲作は、苗代式に変わっていった。|中期以降は直播き式であった|In addition, a direct sowing method was used for rice-growing after the middle of the Tang period, but it changed to a nursery method.
BASIC5000_3256_hint2|また、唐代中期以降は、直播き式であった稲作は、苗代式に変わっていった。|中期以降は変わっていった|In addition, a direct sowing method was used for rice-growing, but after the middle of the Tang period, it changed to a nursery method.
BASIC5000_3259_hint1|意図的に開けた人払いの結界の穴から入って来た男を逆ナンして、性行為を行った人数を競い、僅差で敗北した。|意図的に開けた人払い|I picked up men coming through the sacred hole for getting rid of people that I had opened on purpose. I competed how many men to sleep with but lost with a narrow margin.
BASIC5000_3259_hint2|意図的に開けた人払いの結界の穴から入って来た男を逆ナンして、性行為を行った人数を競い、僅差で敗北した。|意図的に開けた穴|I picked up men coming through the sacred hole for getting rid of people, which I had opened on purpose, and I competed on how many I could sleep with, but I lost by a narrow margin.
BASIC5000_3268_hint1|楽譜に書くとき、ひとつの強拍に連なる拍のまとまりを、小節と呼ぶ。|ひとつの強拍|When writing music scores, we call beats that consist of a beat a bar.
BASIC5000_3268_hint2|楽譜に書くとき、ひとつの強拍に連なる拍のまとまりを、小節と呼ぶ。|ひとつのまとまり|When writing music scores, we call a set of beats a bar.
BASIC5000_3288_hint1|主流の有線設備と異なり、直接電気的に接続する必要が無いため、感電の可能性を避けるため、設備を遮蔽する必要のある場合もある。|有線設備の中でも主流のもの|Unlike the major wire equipment, there is no need of a direct electrical connection; therefore, the possibility of an electric shock can be avoided, so it might be required to shield the equipment.
BASIC5000_3288_hint2|主流の有線設備と異なり、直接電気的に接続する必要が無いため、感電の可能性を避けるため、設備を遮蔽する必要のある場合もある。|有線設備は一般的に主流|Unlike major wire equipment, there is no need of a direct electrical connection; therefore, the possibility of an electric shock can be avoided, so it might be required to shield the equipment.
BASIC5000_3300_hint1|それがたとえ拙い完璧でない表現でも法律違反にはなっていないので、この点は、頭痛さんにご理解願いたいと思います。|拙い完璧|Even though the expression is completely childish, it is not against the law. I want people with headaches to understand this standpoint.
BASIC5000_3300_hint2|それがたとえ拙い完璧でない表現でも法律違反にはなっていないので、この点は、頭痛さんにご理解願いたいと思います。|拙い表現|Even though it is a childish expression and not perfect, it is not against the law. I want headaches to understand this standpoint.
BASIC5000_3317_hint1|たとえば、ヒトの歯の断面は、外側からエナメル質、象牙質、歯髄と、輪のように並んでおり、エナメル質が入り組んで、形成されているわけではない。|入り組んで形成されている|For example, when viewed in cross section of human' teeth, enamel, dentin, and the pulp are lined up from the outside like a circle. The enamel is not tangled with other parts to compose a tooth.
BASIC5000_3317_hint2|たとえば、ヒトの歯の断面は、外側からエナメル質、象牙質、歯髄と、輪のように並んでおり、エナメル質が入り組んで、形成されているわけではない。|入り組んでいるが、形成されていない|For example, when viewed in cross section of human teeth, enamel, dentin, and the pulp are lined up from the outside like a circle. The enamel is tangled with other parts but does not compose a tooth.
BASIC5000_3345_hint1|そのため、法及び各種通達等において定めることができない事例については、法の趣旨と実施機関が管轄する地域の実情などを勘案して判断される。|法の趣旨と実施機関|Therefore, in regard to matters that cannot be determined by laws or each notification, they are judged by the objectives of laws and executing organization that consider regional conditions.
BASIC5000_3345_hint2|そのため、法及び各種通達等において定めることができない事例については、法の趣旨と実施機関が管轄する地域の実情などを勘案して判断される。|法の趣旨と実情|Therefore, in regard to matters that cannot be determined by laws and each notification, considering objectives of the law and regional conditions, the executing organization makes a judgement.
BASIC5000_3352_hint1|ガスの高速輸送の際にパイプが励振されたり、飛行機の翼まわりの空気の乱流が原因で、翼が励振されるなどの発生例があり、多くの機械系の設計において、考慮する必要がある。|多くの機械系|Pipes are driven during express gas transportation, and the wings of airplanes are driven due to air turbulence around the wings; therefore, we must consider these conditions when designing many mechanical systems.
BASIC5000_3352_hint2|ガスの高速輸送の際にパイプが励振されたり、飛行機の翼まわりの空気の乱流が原因で、翼が励振されるなどの発生例があり、多くの機械系の設計において、考慮する必要がある。|多くの設計|Pipes are driven during express gas transportation, and the wings of airplanes are driven due to air turbulence around the wings; therefore, we must consider these conditions in many mechanical designs.
BASIC5000_3382_hint1|他の家族や使用人のように夫に愛人がいたと疑念を抱いたのか否かは不明である。|他の家族や使用人のように愛人がいた|I am not sure that she doubted that her husband had a mistress, as other families and servants had.
BASIC5000_3382_hint2|他の家族や使用人のように夫に愛人がいたと疑念を抱いたのか否かは不明である。|他の家族や使用人のように疑念を抱いた|I am not sure that she doubted, as other families and servants did, that her husband had a mistress.
BASIC5000_3395_hint1|欲望に囚われた不倫の男女による保険金目的の完全犯罪とその破綻。|欲望に囚われた不倫|The perfect crime aiming at the insurance money was plotted by a couple having an affair with endless desire and an unhappy ending.
BASIC5000_3395_hint2|欲望に囚われた不倫の男女による保険金目的の完全犯罪とその破綻。|欲望に囚われた男女|The perfect crime aiming at the insurance money was plotted by a couple with endless desire having an affair and an unhappy ending.
BASIC5000_3399_hint1|また、遺棄された在外資産は、中間賠償と呼ばれる賠償の一部という形態をとることもある。|中間賠償の一部|In addition, a part of the interim compensation could be demanded for abandoned overseas assets.
BASIC5000_3399_hint2|また、遺棄された在外資産は、中間賠償と呼ばれる賠償の一部という形態をとることもある。|中間賠償＝賠償の一部|In addition, the interim compensation that is a part of the compensation could be demanded for abandoned overseas assets.
BASIC5000_3403_hint1|拳銃を手に、攫われた娘、イリアを救うべく敵地へ赴く。|拳銃を手に攫われた|I went to the enemy territory to rescue Ilia, who had a gun and been kidnapped.
BASIC5000_3403_hint2|拳銃を手に、攫われた娘、イリアを救うべく敵地へ赴く。|拳銃を手に赴く|With a gun, I went to the enemy territory to rescue Ilia, who had been kidnapped.
BASIC5000_3408_hint1|ある商家に、共に酒好きな大旦那と若旦那の親子がいた。|酒好きな大旦那|There is a merchant family with an old master who was a heavy drinker and a young master.
BASIC5000_3408_hint2|ある商家に、共に酒好きな大旦那と若旦那の親子がいた。|酒好きな親子|There is a merchant family with an old master and a young master that were heavy drinkers.
BASIC5000_3423_hint1|塔内やゲフェニアに出現する天使が落とす特定のアイテムを彼女に渡せば、いくらかの褒賞が与えられる。|出現する天使|If you give her specific items that are dropped by angels appearing inside the tower and Gefenia, you will get some rewards.
BASIC5000_3423_hint2|塔内やゲフェニアに出現する天使が落とす特定のアイテムを彼女に渡せば、いくらかの褒賞が与えられる。|出現するアイテム|If you give her specific items that appear inside the tower and Gefenia, which are dropped by angels, you will get some rewards.
BASIC5000_3457_hint1|私は村にいる時、彼の盗みの手下になったことがあったために、私が黙って都へ立去ったことを彼は憤慨しているらしかった。|彼の盗み|I became involved with his theft group when living in the village. I heard that he was angry because I left the town without saying.
BASIC5000_3457_hint2|私は村にいる時、彼の盗みの手下になったことがあったために、私が黙って都へ立去ったことを彼は憤慨しているらしかった。|彼の手下|I was a subordinate of his theft group when living in the village. I heard that he was angry because I left the town without saying.
BASIC5000_3467_hint1|長い手足を生かした回転量の多いドライブと、俊敏なフットワークが持ち味で、ラリー戦に強い。|長い手足を生かした回転量|His advantages are driving the ball with many spins using his long legs and arms and swift footwork.
BASIC5000_3467_hint2|長い手足を生かした回転量の多いドライブと、俊敏なフットワークが持ち味で、ラリー戦に強い。|長い手足を生かしたドライブ|His advantages are driving the ball using his long legs and arms with many spins and swift footwork.
BASIC5000_3475_hint1|しかし、万が一のために、身体に仕込んでおいた内臓を停止させる特殊な発信機の存在を彼女に見抜かれた上、それを、逆に自身の体内に埋め込まれて死亡した。|身体に仕込んでおいた内臓|However, she found a specific transmitter aiming to halt internal organs that were embedded in the body just in case, and she killed him by embedding the transmitter into their body.
BASIC5000_3475_hint2|しかし、万が一のために、身体に仕込んでおいた内臓を停止させる特殊な発信機の存在を彼女に見抜かれた上、それを、逆に自身の体内に埋め込まれて死亡した。|身体に仕込んでおいた発信器|However, she found a specific transmitter that I embedded in the body to halt internal organs just in case, and she killed him by embedding the transmitter into their body.
BASIC5000_3480_hint1|しかし同時に、エドガーが完全なプリンスとして覚醒した時は、元々彼の持つ資質により、今までにない強力な支配力を持つプリンスになると危惧されている。|エドガーが完全|At the same time, however, it is worried that if the perfect Edgar is awakened as a prince, he could be a prince with the most powerful controlling power because of his natural talents.
BASIC5000_3480_hint2|しかし同時に、エドガーが完全なプリンスとして覚醒した時は、元々彼の持つ資質により、今までにない強力な支配力を持つプリンスになると危惧されている。|エドガーが覚醒した|At the same time, however, it is worried that if Edgar is awakened as a perfect prince, he could be a prince with the most powerful controlling power because of his natural talents.
BASIC5000_3497_hint1|一般に結晶というものは、結晶面の欠陥部分に優先して原子を取り込みやすいので、ゆっくりと成長した場合には、結晶面に凹凸が無い単純な構造となる。|欠陥部分に優先して|In regard to crystallization, generally, the imperfect area of crystal is given priority to be filled with atoms. That is why, if the crystal grows gradually, the structure will become simple and the surface has no unevenness.
BASIC5000_3497_hint2|一般に結晶というものは、結晶面の欠陥部分に優先して原子を取り込みやすいので、ゆっくりと成長した場合には、結晶面に凹凸が無い単純な構造となる。|欠陥部分に取り込みやすい|In regard to crystallization, generally, the imperfect area of crystal is easily filled with atoms, preferentially. That is why, if the crystal grows gradually, its form will be simple and there will be no unevenness on the surface.
